Node,Code,HasEye
ecdmw,Treccani_S34_120617,FALSE
ecdmw,Treccani_S17_250517,TRUE
ecdmw,Treccani_S26_310517,FALSE
ecdmw,Treccani_S15_240517,TRUE
ecdmw,Treccani_S60_200717,FALSE
ecdmw,Treccani_S59_190717,FALSE
ecdmw,Treccani_S45_190617,FALSE
ecdmw,Treccani_S42_160617,TRUE
ecdmw,Treccani_S37_130617,FALSE
ecdmw,Treccani_S12_190517,TRUE
ecdmw,Treccani_S20_290517,FALSE
ecdmw,Treccani_S01_130417,TRUE
ecdmw,Treccani_S35_130617,FALSE
ecdmw,Treccani_S09_150517,FALSE
ecdmw,Treccani_S10_160517,FALSE
ecdmw,Treccani_S33_120617,TRUE
ecdmw,Treccani_S39_140617,FALSE
ecdmw,Treccani_S16_250517,FALSE
ecdmw,Treccani_S28_050617,TRUE
ecdmw,Treccani_S03_140417,TRUE
xmyd9,Ortiz_25_171010,TRUE
xmyd9,Ortiz_23_171010,TRUE
xmyd9,Ortiz_14_171010,FALSE
xmyd9,Ortiz_4_170522,TRUE
xmyd9,Ortiz_7_170524,TRUE
xmyd9,Ortiz_5_170524,TRUE
xmyd9,Ortiz_22_171005,TRUE
xmyd9,Ortiz_2_171016,FALSE
xmyd9,Ortiz_18_170927,TRUE
xmyd9,Ortiz_5_171017,FALSE
xmyd9,Ortiz_12_171017,FALSE
xmyd9,Ortiz_16_170927,TRUE
xmyd9,Ortiz_7_171017,FALSE
xmyd9,Ortiz_25_171018,FALSE
xmyd9,Ortiz_23_171018,FALSE
xmyd9,Ortiz_20_171018,FALSE
xmyd9,Ortiz_17_170928,TRUE
xmyd9,Ortiz_17_171018,FALSE
xmyd9,Ortiz_30_171019,FALSE
xmyd9,Ortiz_26_171011,TRUE
xmyd9,Ortiz_21_171004,TRUE
xmyd9,Ortiz_12_170925,TRUE
xmyd9,Ortiz_9_170525,TRUE
xmyd9,Ortiz_13_170926,TRUE
xmyd9,Ortiz_14_170926,TRUE
xmyd9,Ortiz_10_171017,FALSE
xmyd9,Ortiz_1_171027,TRUE
xmyd9,Ortiz_13_171017,FALSE
xmyd9,Ortiz_15_170927,TRUE
xmyd9,Ortiz_9_171017,FALSE
xmyd9,Ortiz_6_171017,FALSE
xmyd9,Ortiz_26_171018,FALSE
xmyd9,Ortiz_28_171018,TRUE
xmyd9,Ortiz_15_171018,FALSE
xmyd9,Ortiz_19_171018,FALSE
xmyd9,Ortiz_28_171019,FALSE
xmyd9,Ortiz_11_171019,FALSE
xmyd9,Ortiz_19_170929,TRUE
xmyd9,Ortiz_24_171010,TRUE
xmyd9,Ortiz_1_171010,FALSE
xmyd9,Ortiz_2_170522,TRUE
xmyd9,Ortiz_3_170522,TRUE
xmyd9,Ortiz_20_171004,TRUE
xmyd9,Ortiz_30_171025,TRUE
xmyd9,Ortiz_11_170526,TRUE
xmyd9,Ortiz_10_171107,TRUE
xmyd9,Ortiz_8_171107,TRUE
xmyd9,Ortiz_27_171017,TRUE
xmyd9,Ortiz_3_171017,FALSE
xmyd9,Ortiz_4_171017,FALSE
xmyd9,Ortiz_8_171017,FALSE
xmyd9,Ortiz_27_171018,FALSE
xmyd9,Ortiz_24_171018,FALSE
xmyd9,Ortiz_22_171018,FALSE
xmyd9,Ortiz_21_171018,FALSE
xmyd9,Ortiz_18_171018,FALSE
xmyd9,Ortiz_16_171018,FALSE
6ea38,lukavsky_34_170530,TRUE
6ea38,lukavsky_80_170801,TRUE
6ea38,lukavsky_78_170731,TRUE
6ea38,lukavsky_38_170602,TRUE
6ea38,lukavsky_70_170712,TRUE
6ea38,lukavsky_12_170522,TRUE
6ea38,lukavsky_66_170704,TRUE
6ea38,lukavsky_52_170615,TRUE
6ea38,lukavsky_25_170525,TRUE
6ea38,lukavsky_44_170606,TRUE
6ea38,lukavsky_55_170616,TRUE
6ea38,lukavsky_77_170727,TRUE
6ea38,lukavsky_75_170727,TRUE
6ea38,lukavsky_27_170529,TRUE
6ea38,lukavsky_28_170529,TRUE
6ea38,lukavsky_59_170619,TRUE
